QueueId,Total Interactions
765b0864-da37-4f35-b5a2-fd9a051ef834,0
80e06ef0-1ac4-4c70-b1d9-b6006df81a4f,0
8e4e6a6f-c9e0-4498-9388-f2452d7c95b3,0
98a57bd8-a1ee-4d0c-ba29-95edd15de146,0
98c2d2dc-d3dc-414b-a3c5-1c276082444c,0
a1fb883a-6b2f-4a23-abc7-c69809a4f58c,0
a77c2b26-914e-403e-956f-6c141e046dde,0
a8b643b6-30d7-4637-b7d7-7364aef82865,0
ac94d60c-c058-4984-83fc-784789b2ea4c,0
b31b29a2-6bf3-4aa8-86ed-0920073f64e2,0
c40249b7-be41-4061-a340-83b3dac6cbcd,0
c49b82b5-0f2e-48b2-a64c-4958b25568f9,0
c6cea032-8b32-48c7-b0ee-f53caede3512,0
ce4e071e-ffd0-4ff7-bc36-fa991fb1bfd5,0
